Song Name,Artist,Album,Release Date,Popularity
"Water Music, Suite No. 3, HWV 350: XVI. Lentement",George Frideric Handel,Handel: Water Music,05/02/2016,30
Trumpet Voluntary,Jeremiah Clarke,Pachelbel: Canon in D - Bach: Air on a G String - Handel: Largo from 'Xerxes' - Hallelujah Chorus - Clarke: Trumpet Voluntary,01/01/2009,29
Football,Chappaqua Wrestling,Football,03/07/2020,34
You Move Backwards,Bad Sounds,You Move Backwards,20/08/2021,35
Please,The Night Café,151,23/08/2019,35
January Sun,Fizzy Blood,Feast,22/06/2015,33
Spinning Wheel,Black Honey,Spinning Wheel,20/02/2015,30
The Dial,Squid,The Dial,21/09/2018,32
Loosen It,Demob Happy,Holy Doom (Deluxe),30/11/2018,26
Plant The Seed,The Slow Readers Club,Cavalcade,13/04/2015,44
California Daze,Peace,EP Delicious,07/09/2012,26
Sludge,Squid,Sludge,24/03/2020,33
"Water Music, Suite No. 3, HWV 350: XVII. [Bourrée]",George Frideric Handel,Handel: Water Music,05/02/2016,30
Martyr,Palace,Martyr,26/02/2019,28
On Wax,Corella,On Wax,28/08/2020,37
The Urge - Live at Parr Street,Blossoms,Cut Me and I'll Bleed,19/01/2015,37
"Water Music, Suite No. 3, HWV 350: XX. [Gigue 1] - XXI. [Gigue 2] da capo",George Frideric Handel,Handel: Water Music,05/02/2016,30
"Trio Sonata in F Major, HWV 392: IV. Allegro assai",George Frideric Handel,Handel: Trio Sonatas for Two Violins and Basso Continuo,04/03/2016,36
Black Magic - Acoustic,The Amazons,The Amazons (Deluxe),26/05/2017,40
Lay This Body Down,Sam Lee,Old Wow+,2019,29
Dice,Corella,Dice,19/07/2019,39
"Water Music, Suite No. 2, HWV 349: XV. [Rigaudon 2] - XIV. [Rigaudon 1]",George Frideric Handel,Handel: Water Music,05/02/2016,30
Hotel Apathy,The Magic Gang,EP Three,24/03/2017,32
Ghost,The Reytons,Alcopops & Charity Shops,03/08/2018,41
CHIP ON MY SHOULDER,RAT BOY,INTERNATIONALLY UNKNOWN,25/01/2019,23
Tallest Man in the Nightclub,The Reytons,It Was All So Monotonous,01/05/2017,46
Hostages,The Howl & The Hum,Human Contact,29/05/2020,36
One Great Song and I Could Change the World,Swim Deep,One Great Song and I Could Change the World,30/04/2015,36
Camel Crew,Sports Team,Deep Down Happy,05/06/2020,25
Confidence,Dead Pretties,Confidence,11/08/2017,32
"Water Music, Suite No. 3, HWV 350: XVIII. Menuet 1",George Frideric Handel,Handel: Water Music,05/02/2016,30
Jealous Guy,Sorry,Jealous Guy,21/03/2019,31
Avalanche,The Reytons,Avalanche,30/09/2022,37
Trampoline,Airways,Trampoline / The End,15/03/2019,32
Gawain,The Trials of Cato,Hide and Hair,09/11/2018,30
Losing My Touch,October Drift,Forever Whatever,24/01/2020,32
"Keyboard Suite No. 2 (Set I) in F Major, HWV 427: I. Adagio",George Frideric Handel,"Handel: Keyboard Suites, Vol. 1",30/03/2010,34
"Think Too Much, Feel Too Little",JAWS,Be Slowly,16/09/2014,26
"Hear my Prayer, O Lord, Z. 15",Henry Purcell,Naked Byrd Two,27/10/2010,32
Hello Today,Black Honey,Black Honey (Deluxe),23/11/2018,36
Happy (God’s Own Country),Sports Team,Happy (God’s Own Country),21/04/2021,25
Backflip,Love Fame Tragedy,"Wherever I Go, I Want To Leave",10/07/2020,35
Mixed Signals,The Night Café,151,23/08/2019,35
All These Things,The Mysterines,Reeling,11/03/2022,44
Dig!,Sports Team,Gulp!,23/09/2022,25
Easy Life,Press to MECO,Easy Life,20/09/2019,33
Tongue-tied,Emily Portman,The Glamoury,2010,29
Open Up Your Head,Sea Girls,Open Up Your Head,11/02/2019,43
Surfer Girl,Happyness,Tunnel Vision On Your Part,23/09/2016,24
Wide Eyes and Halos,The Reytons,Wide Eyes and Halos,12/07/2019,42
Vibrate,Red Rum Club,How To Steal The World,12/11/2021,46
In Unison,Sorry,925,27/03/2020,31
Run for Cover,Black Honey,Written & Directed,19/03/2021,35
Suburbia,Gengahr,Red Sun Titans,09/06/2023,35
Roll of the Dice,King No-One,Roll of the Dice,26/06/2020,36
Ultraviolet,The Amazons,The Amazons (Deluxe),26/05/2017,43
I Wish I Was in Dixie,The Houghton Weavers,Songs of Conflict,22/04/2013,26
Trying To Break Your Heart,Flyte,This Is Really Going To Hurt,09/04/2021,29
"Organ Concertos, Op. 4, Concerto No. 6 in B-Flat Major, HWV 294: I. Andante allegro",George Frideric Handel,"Handel: Organ Concertos, Op. 4",12/02/2008,35
Magpie,The Unthanks,Mount the Air,09/02/2015,35
One More Reason,The Reytons,What's Rock And Roll?,20/01/2023,46
Wave,The Covasettes,Wave,16/09/2022,37
Hung Around,King Nun,Hung Around,06/03/2017,30
Who You Are,SPINN,SPINN EP,06/04/2018,30
Wayfinding,Chappaqua Wrestling,Plus Ultra,14/04/2023,34
15 Minutes In The Algorithm,The Reytons,What's Rock And Roll?,20/01/2023,44
Gravedweller,The Wytches,Annabel Dream Reader,25/08/2014,23
Red Sun Titans,Gengahr,Red Sun Titans,09/06/2023,36
Loveblood,Sundara Karma,Youth is Only Ever Fun in Retrospect,07/07/2017,36
SIGN ON,RAT BOY,SCUM (Deluxe),11/08/2017,37
Kids Addicted,Red Rum Club,The Hollow Of Humdrum,02/10/2020,45
Go,Ten Tonnes,So Long EP,01/07/2021,28
Beaches,Black Honey,Beaches,29/07/2020,37
Fragile Male For Sale,The Wytches,Annabel Dream Reader,25/08/2014,23
Liquid Light,Squid,Lino,19/09/2017,34
Tear It Down,Demob Happy,Divine Machines,26/05/2023,34
"Purcell: March and Canzona for Queen Mary's Funeral, Z. 860: March",Henry Purcell,Purcell: Musique pour les funérailles de la Reine Mary,01/01/1999,23
Who's Ur Girl?,The Mysterines,Love's Not Enough EP,22/05/2020,34
Hell On Earth,Circa Waves,Never Going Under,13/01/2023,42
Fade,Palace,Fade,11/11/2021,27
The Future is Not What It Was,The Clockworks,The Future is Not What It Was,12/06/2020,37
"Don't Stop - Live in London, 2022",Bad Nerves,Alive in London,21/04/2023,29
I'll Be Fine,Palace,"Someday, Somewhere",23/10/2020,27
Barcelona,The Big Moon,Walking Like We Do,10/01/2020,39
Global Groove,Squid,Bright Green Field,07/05/2021,32
"A Fancy, P. 73",John Dowland,Lessons,06/05/2022,30
Orthodox Man,Blaenavon,That's Your Lot,07/04/2017,22
Rotten,Porridge Radio,"Waterslide, Diving Board, Ladder To The Sky",20/05/2022,32
In Nomine,John Taverner,Elizabethan Songs and Consort Music,15/11/1999,32
Need You No More,Chappaqua Wrestling,Need You No More,16/03/2023,30
Cool Like You,Blossoms,Cool Like You (Deluxe),27/04/2018,43
Run Baby Run,Demob Happy,Divine Machines,26/05/2023,34
I've Seen The Future,Blossoms,I’ve Seen The Future,13/04/2019,38
Long Hot Summer,Sports Team,Deep Down Happy,05/06/2020,24
California Daze,Peace,In Love (US),01/10/2013,22
John Cooper Clarke,Working Men's Club,Working Men's Club,02/10/2020,41
Gold,JAWS,Be Slowly,16/09/2014,25
Born To Lose,Ten Tonnes,Born To Lose EP,09/06/2017,38
Better Than Me,Ten Tonnes,Ten Tonnes,03/05/2019,39
If Ye Love Me,Thomas Tallis,If Ye Love Me,18/08/2020,30
Passing Ships,Swimming Tapes,Morningside,24/05/2019,27
"Handel: Music for the Royal Fireworks, HWV 351: I. Overture (Adagio)",George Frideric Handel,Royal Fireworks,08/11/2019,34
"Handel: Water Music, Suite No. 3 in G Major, HWV 350: I. Menuet I",George Frideric Handel,Baroque Masterpieces,07/02/2011,31
Bad Advice,Otherkin,OK,29/09/2017,32
Get Away,Circa Waves,Young Chasers (Deluxe),30/03/2015,42
Muscular Reflex,Demob Happy,Divine Machines,26/05/2023,33
Mounsieurs Almanie,Daniel Bacheler,Daniel Bacheler: The Bachelar's Delight,12/09/2006,26
"Come, Ye Sons of Art Away, Z. 323 ""Ode for Queen Mary's Birthday, 1694"": No. 2. Duet, ""Come Ye Sons of Art Away"" (Arr. with Trumpet, Trombone, Baroque Guitar, Cello and Organ by Wim van Hasselt and Jörgen van Rijen)",Henry Purcell,Tintomara,01/01/2015,31
The Song called Trumpets,Robert Parsons,Elizabethan Songs and Consort Music,15/11/1999,31
In My Head,The Mysterines,Reeling,11/03/2022,40
Suite From Abdelzar: III. Minuet,Henry Purcell,A Baroque Feast,09/04/2002,31
Lost It,Circa Waves,Young Chasers (Deluxe),30/03/2015,34
ceasefire - demo,Only The Poets,demos.,08/06/2021,43
Swimming,Marsicans,Absence (Deluxe Edition),16/09/2016,33
Angeline the Baker,Sam Kelly,Pretty Peggy,06/10/2017,34
Largo From Xerxes,George Frideric Handel,The Most Relaxing Classical Music In The Universe,01/01/2009,30
Uber Capitalist Death Trade,Cabbage,"Young, Dumb and Full Of...",06/01/2017,34
Attention Seeker,Felix Hagan & the Family,Attention Seeker,24/11/2017,26
"Keyboard Suite No. 5 in E Major, HWV 430: IV. Air and Doubles (""Harmonious Blacksmith"")",George Frideric Handel,"Handel: Keyboard Suites, Vol. 2",07/04/2015,33
Cut the Cord,Black Honey,A Fistful of Peaches,17/03/2023,35
"Baby Drummer - Live in London, 2022",Bad Nerves,Alive in London,21/04/2023,28
See Through You,Spyres,See Through You,14/01/2022,30
Hallelujah Chorus (from Handel’s Messiah),George Frideric Handel,Alleluia,2016,23
Forget Your Name,Only The Poets,Forget Your Name,05/07/2022,41
Showgirl,Sorry,Showgirl,16/05/2018,29
Oxygen Thief,The Luka State,More Than This,10/03/2023,31
Your Eyes,APRE,A001,01/03/2022,30
Cue to Leave,Fizzy Blood,Feast,22/06/2015,28
Earth Mover,Demob Happy,Divine Machines,26/05/2023,32
Bugs,SOFT PLAY,Acts Of Fear And Love,17/08/2018,34
A Ladder,Gengahr,Red Sun Titans,09/06/2023,34
Beam/s,The Orielles,Tableau,07/10/2022,31
Losing You,Flyte,Losing You,04/09/2020,28
Running Wild,Palace,Running Wild,23/05/2019,26
Oh No (I Think I’m In Love),Blossoms,To All The Boys: Always and Forever (Music From The Netflix Film),12/02/2021,30
"Concerti grossi, Op. 6, Concerto Grosso No. 3 in E Minor, HWV 321: IV. Polonaise",George Frideric Handel,"Handel: Concerti Grossi, Op. 6 Nos. 1-12",1998,32
Stuck In My Teeth,Circa Waves,Young Chasers (Deluxe),30/03/2015,42
Never Enough,The Pale White,Never Enough,01/12/2021,31
Transplant,Sea Girls,Open Up Your Head,14/08/2020,41
Enough,Bad Sounds,Mixtape One,29/09/2017,33
O Nata Lux,Thomas Tallis,Lux,01/01/2015,24
Goose,No Hot Ashes,Goose,2014,37
"Vingt pièces pour clavier: No. 13, Menuet - Transcr. for Three Marimbas",Henry Purcell,"Alors, on danse ? (Transcr. for Three Marimbas)",16/03/2018,35
End Of Last Year,Porridge Radio,"Waterslide, Diving Board, Ladder To The Sky",20/05/2022,32
"Purcell: Trumpet Sonata in D Major, Z. 850: II. Adagio",Henry Purcell,Purcell Edition Volume 4 : Instrumental Music,01/09/2009,36
"Keyboard Suite No. 7 in G minor, HWV432 - Arr. for two guitars A. Lagoya: 3. Allegro",George Frideric Handel,Baroque Guitar,01/01/2003,21
Want Love,Fuzzy Sun,Want Love,21/03/2018,37
In The Moment,Gengahr,Red Sun Titans,09/06/2023,34
I Still Believe In You,Flyte,White Roses,20/09/2019,28
"Handel: Water Music, Suite No. 3 in G Major, HWV 350: V. Menuet II",George Frideric Handel,Handel: Water & Fireworks Music,23/02/2009,33
All That Remains Won't Be the Same,Otherkin,All That Remains Won't Be the Same,05/04/2019,30
Daydreaming,The Big Moon,FEELGOOD INDIE 2023 by the Circle Sessions,14/06/2023,0
Care For,Blossoms,Ribbon Around The Bomb,29/04/2022,21
We Can Do What We Want,Drenge,Undertow,06/04/2015,23
She Takes Her Time,SPINN,SPINN EP,06/04/2018,34
If You Think This Is Real Life,Blossoms,Foolish Loving Spaces (Deluxe Edition),31/01/2020,45
"Radio Punk - Live in London, 2022",Bad Nerves,Alive in London,21/04/2023,26
Never Be Lonely,The Feeling,Twelve Stops And Home (Deluxe),05/06/2006,45
One More Reason,The Reytons,One More Reason,13/01/2023,34
"Can't Be Mine - Live in London, 2022",Bad Nerves,Alive in London,21/04/2023,27
Zadok the Priest,George Frideric Handel,Handel: Coronation Anthems / Silete Venti,24/11/2002,34
"Suite in B-Flat Major, HWV 434: IV. Minuet (Arr. Kempff for Piano)",George Frideric Handel,"Handel: Suite in B-Flat Major, HWV 434: IV. Minuet (Arr. Kempff for Piano)",16/12/2022,31
"Suite No. 2 in F Major, HWV 427: III. Adagio",George Frideric Handel,The Handel Project: Handel-Suites & Brahms-Variations,03/02/2023,31
Pure Pop,Blossoms,Foolish Loving Spaces (Extended Edition),04/12/2020,35
Even Hell,Only The Poets,Even Hell,10/02/2023,42
Bobbi's Second World,The Orielles,Bobbi's Second World,06/11/2018,34
Alkali,Gengahr,Red Sun Titans,09/06/2023,34
Rabbit Hole,False Heads,It's All There but You're Dreaming,13/03/2020,35
The Tempest: Galliard,Matthew Locke,Purcell & Locke: Orchestral Works,10/05/2019,31
Orphans Of The Storm,Flyte,The Loved Ones,25/08/2017,29
"Ode for St. Cecilia's Day, HWV 76: Air: What passion cannot Music raise",George Frideric Handel,Handel: Ode for St. Cecilia's Day,09/03/2004,33
Think It Over,The Night Café,For Better Days EP,22/04/2021,29
The Baffled Knight,Lucy Ward,The Liberty to Choose: Songs from the New Penguin Book of English Folk Songs,2013,30
Christus resurgens,Peter Philips,Philips: Cantiones Sacrae Quinis et Octonibus Vocibus (Antwerp 1612 & 1613),06/12/2011,28
"Serse (Xerxes), HWV 40: Ombra mai fu (Largo)",George Frideric Handel,"Mendelssohn / Handel / Bach, J.S. / Strauss, R.: Songs for Counter-Tenor and Orchestra",30/09/1998,32
When I Am Laid In Earth (Dido's Lament),Henry Purcell,Eternal Light,01/01/2007,22
All In,Luna Bay,All In,18/10/2019,29
"Terminal Boy - Live in London, 2022",Bad Nerves,Alive in London,21/04/2023,27
Monday,BLOXX,Monday,14/09/2018,28
Full Round Table,Chappaqua Wrestling,Plus Ultra,14/04/2023,34
Psychopath,Another Sky,Psychopath,12/04/2023,34
Be a Freak,Felix Hagan & the Family,Attention Seeker,24/11/2017,24
Outrageous,Calva Louise,Rhinoceros,01/02/2019,28
Let The Lights On,Sorry,Let The Lights On,12/07/2022,28
"Handel: Messiah, HWV 56, Pt. 1, Scene 4: Pastoral Symphony ""Pifa""",George Frideric Handel,Baroque Masterpieces,07/02/2011,28
Digital Love,Larkins,JCOY,29/10/2021,37
Illusions,Sundara Karma,Ulfilas' Alphabet,01/03/2019,34
OK,Black Honey,A Fistful of Peaches,17/03/2023,36
If Ye Love Me,Thomas Tallis,Christ the King at Ephesus,16/10/2021,23
Big Dreamer,The Covasettes,Big Dreamer,25/02/2022,32
Stay With Me,The Amazons,The Amazons,26/05/2017,24
Cherry Vimto,Viola Beach,Viola Beach,29/07/2016,41
2 Lines,The Big Moon,Here Is Everything,14/10/2022,39
Closer,Sorry,Anywhere But Here,07/10/2022,31
Living in the Grey,Circa Waves,Never Going Under,13/01/2023,36
Prague,Blaenavon,Koso,23/09/2013,33
In My Head,The Mysterines,In My Head,08/07/2021,32
Wolf,Sorry,925,27/03/2020,28
NHS70,Only Sun,NHS70,01/12/2018,30
Giga,Nicola Matteis,Matteis: False Consonances of Melancholy,01/08/2009,31
Dangerous,The Mysterines,Reeling,11/03/2022,42
These Are the Things,The Trials of Cato,Hide and Hair,09/11/2018,30
Lie Out Loud,BLOXX,Lie Out Loud,28/08/2020,31
Just a Minute,The Magic Gang,Death of the Party (Bonus Track Version),28/08/2020,39
The Crow on the Cradle,Lady Maisery,Mayday,22/04/2012,29
White Sparks,Animal Kingdom,The Looking Away,08/05/2012,26
Bad Kid,Bad Nerves,Bad Kid,24/03/2017,23
Do Right,Cassia,Don't Make a Scene,17/08/2020,38
I Won't Wait,Spector,I Won't Wait,04/06/2019,37
"Handel: Coronation Anthem No. 4, HWV 261 ""My Heart Is Inditing"": I. My Heart Is Inditing",George Frideric Handel,Handel Coronation Anthems,01/09/2001,32
Many's the Night's Rest,The Furrow Collective,Wild Hog,2016,30
Moon Unit,Flyte,Moon Unit,09/03/2018,27
The Last Hangman,Hotel Lux,The Last Hangman,17/11/2017,35
Stay With Me,The Amazons,The Amazons (Deluxe),26/05/2017,39
Bring Us Down,The Luka State,Bring Us Down,18/05/2022,34
Feel It,The Luka State,Room's On Fire,29/05/2020,25
You,BLOXX,You,14/04/2017,32
Glass Towns,The K's,Glass Towns,10/12/2019,46
She's As Happy As A Man Can Be,Demob Happy,Divine Machines,26/05/2023,31
England Screams,Strange Bones,England Screams,14/05/2021,27
Vitamin C,Clean Cut Kid,Felt (Deluxe),05/05/2017,22
Arms of Another,Marsicans,Absence (Deluxe Edition),16/09/2016,33
Ode To NYC,Blossoms,Ribbon Around The Bomb,29/04/2022,20
Sirens,The Sherlocks,Sirens,03/02/2023,41
Madonna,Black Honey,Black Honey (Deluxe),23/11/2018,30
03/12/2015 00:16,The Bulletproof Bomb,This Aint Rebellion,21/10/2016,28
"Handel: Rinaldo, HWV 7, Act 2: Aria. ""Lascia ch'io pianga"" (Almirena)",George Frideric Handel,40 Most Beautiful Arias,2006,32
Cash In Hand & Fake IDs,The Reytons,What's Rock And Roll?,20/01/2023,44
Antibiotics,The Reytons,Kids Off The Estate,12/11/2021,43
Some Kind of Hero,Felix Hagan & the Family,Kiss the Misfits,20/11/2015,25
Trumpet Voluntary in D Major (The Prince of Denmark's March),Jeremiah Clarke,100 Most Essential Classical Favorites,01/01/2009,25
Selfish,King Nun,Selfish,26/04/2023,31
Ave cujus conceptio,Nicholas Ludford,"Music from the Peterhouse Partbooks, Vol. 4",14/08/2015,26
"Second Booke of Songes, 1600: 2. Flow my Tears (Arr. Solomons)",John Dowland,Meditation Tunes,14/06/2023,0
Zuton Fever,The Zutons,Who Killed The Zutons?,2004,38
Everything I’ve Ever Learned,BLOXX,Everything I’ve Ever Learned,24/03/2021,32
"Lady Hunsdon's Puffe, P. 54",John Dowland,"Dowland, J.: Lute Music, Vol. 1 - Fancyes, Dreams and Spirits",20/06/2006,28
Talking About Stuff,THE GOA EXPRESS,Talking About Stuff,24/05/2023,39
Plastic Gold,The Covasettes,Plastic Gold,24/06/2022,33
Off My Mind,The Covasettes,Be Mine,24/07/2020,31
Plant Trees,Chappaqua Wrestling,Plant Trees,17/08/2018,33
16-18 - Why You Lacking Energy?,Cassia,16-18 (Why You Lacking Energy?),19/05/2022,38
Wild Guess,Spector,Non-Fiction,05/06/2020,34
"Serse, HWV 40 / Act 1: ""Ombra mai fu""",George Frideric Handel,"Handel: Serse, HWV 40: Ombra mai fu",2009,35
She's a Witch,Gengahr,A Dream Outside,12/06/2015,21
Headspace,BLOXX,Headspace,27/02/2019,29
"Quam pulchra es, JD 44",John Dunstable,Dunstable: Quam Pulchra Es / Veni Sancte Spiritus / Mass Movements,18/10/2005,28
Stephanie,Glass Caves,Stephanie,06/03/2020,35
Lunatic,The Slow Readers Club,Build a Tower,04/05/2018,37
Blush,Corella,Blush,21/07/2022,36
All Gas No Brakes,Heavy Lungs,All Gas No Brakes,14/06/2023,32
Pyrenees,Swimming Tapes,Morningside,24/05/2019,24
More,Sorry,925,27/03/2020,29
Spiral,Flyte,The Loved Ones,25/08/2017,28
Hardcore,Love Fame Tragedy,"Wherever I Go, I Want To Leave",10/07/2020,29
Friends,Marsicans,Friends,17/02/2017,30
Glue,The Pale White,Infinite Pleasure,23/04/2021,33
Morning Light,Fuzzy Sun,Since The Dog Died,23/11/2021,33
Bloodshake,Peace,EP Delicious,07/09/2012,36
There's A Reason Why (I Never Returned Your Calls) - Satin Jackets Remix,Blossoms,There's A Reason Why (I Never Returned Your Calls) [Remixes],06/06/2018,33
Stargazing,SPINN,Outside Of The Blue,04/02/2022,32
Out of My Mind,Black Honey,A Fistful of Peaches,17/03/2023,33
Subterraneans,Willie J Healey,HD Malibu,11/05/2015,34
"Apollo e Dafne, HWV 122: Aria: Felicissima quest'alma (Most fortunate is this soul) (Dafne)",George Frideric Handel,"Handel: Italian Cantatas, Vol. 7",24/08/2010,33
Bellyache,Yak,Pursuit of Momentary Happiness,08/02/2019,20
"Ode for St. Cecilia's Day, HWV 76: Overture",George Frideric Handel,Handel: Ode for St. Cecilia's Day,09/03/2004,32
Fill My Little World - Radio Version,The Feeling,Drive Home,01/11/2019,27
Chinese Medicine,King Nun,Chinese Medicine,13/07/2018,29
Threefold Amen,Orlando Gibbons,"An English Coronation, 1902-1953",03/05/2019,28
Paracetamol Blues,Sea Girls,Homesick (Deluxe),18/03/2022,41
"Purcell: King Arthur, Z. 628: Air",Henry Purcell,30th anniversary Les Arts Florissants compilation,15/12/2009,20
Up Against It,Black Honey,A Fistful of Peaches,17/03/2023,34
"Zadok the Priest (Coronation Anthem No.1, HWV 258)",George Frideric Handel,The Last Night of the Proms: The Ultimate Collection,02/09/2016,34
End of Time,The Pale White,End of Time,26/10/2018,30
Northern Star,The Amazons,How Will I Know If Heaven Will Find Me?,09/09/2022,34
